,Symbol,Company,Price,52 WkChange %,EstimatedValuation,Total FundingRaised,Latest FundingDate,Latest AmountRaised,Latest RoundShare Class,Private CompanySector
52,CRIB.PVT,Cribl,4.86,+10.45%,4.405B,725.274M,2024-08-26,199.036M,Series E,Data and Analytics
53,AIR.PVT,Airtable,60.00,+8.60%,3.764B,4.114B,2021-12-12,735M,Series F,Software
54,VERK.PVT,Verkada,9.32,+8.12%,4.866B,655.544M,2025-12-02,80M,Late Stage Venture,Privacy and Security
55,FLEP.PVT,Flexport,3.60,+6.51%,1.012B,2.134B,2022-02-06,935M,Series E,Supply Chain and Logistics
56,ADDE.PVT,Addepar,3.50,+4.79%,3.196B,720.918M,2025-05-12,230.711M,Series G,Financial Services
57,LIG.PVT,Lightmatter,55.20,+2.56%,3.028B,822.484M,2024-10-15,13.483M,Series C-3,Hardware
58,EPIR.PVT,Epirus,2.84,+2.53%,1.025B,541.339M,2025-03-03,250M,Series D,Government and Military
59,TANI.PVT,Tanium,5.40,+0.56%,4.265B,470.943M,2020-06-24,150M,Series H,Privacy and Security
60,WORA.PVT,Workato,6.00,+0.50%,2.115B,441.249M,2021-11-09,200M,Series E,Software
61,COHS.PVT,Cohesity,15.67,+0.06%,4.69B,1.959B,2024-12-09,27.5M,Series H-1,Data and Analytics
62,ARWO.PVT,Arctic Wolf,8.00,0.00%,4.21B,501.343M,2021-07-12,75M,Series F,Privacy and Security
63,BLOO.PVT,Bloomreach,7.00,0.00%,566.707M,444.093M,2022-02-22,175M,Series F,Sales and Marketing
64,EGNY.PVT,Egnyte,8.49,0.00%,772.83M,413.772M,2018-10-09,75M,Series E,Privacy and Security
65,FANA.PVT,Fanatics,42.00,0.00%,17.093B,4.404B,2022-12-05,700M,Private Equity Round 3,Commerce and Shopping
66,FIRB.PVT,Firebolt,2.60,0.00%,371.185M,609.198M,2022-01-25,100M,Series C,Data and Analytics
67,GREE.PVT,Greenlight,15.76,0.00%,600.95M,1.11B,2021-04-26,260M,Series D,Financial Services
68,SISE.PVT,Sisense,0.40,0.00%,--,--,2020-01-12,--,Series F,Data and Analytics
69,VECR.PVT,Vectra AI,5.32,0.00%,839.797M,352.234M,2021-04-28,130M,Series F,Privacy and Security
70,WYLA.PVT,Wyze Labs,3.00,0.00%,231.68M,146M,2021-07-29,100M,Series B,Hardware
71,COLH.PVT,Collective Health,0.18,-5.26%,366.863M,713.283M,2021-05-03,280M,Series F,Health Care
72,PATR.PVT,Patreon,10.81,-7.37%,864.53M,407.775M,2021-04-05,155M,Series F,Media and Entertainment
73,FLOQ.PVT,FloQast,9.20,-8.00%,888.81M,303.775M,2024-04-09,60.294M,Series E,Software
74,WORR.PVT,Workrise,106.30,-8.32%,735.52M,786.709M,2021-05-19,300M,Series E,Administrative Services
75,LOOR.PVT,Loft Orbital,15.81,-8.35%,609.211M,316.273M,2025-01-13,170M,Series C,Space
76,LIDE.PVT,Liquid Death,8.75,-8.66%,951.516M,2.484B,2024-03-10,67.61M,Series F-1,Food and Beverage
77,BIGI.PVT,BigID,1.93,-10.65%,531.534M,1.216B,2024-03-17,61.44M,Series E,Privacy and Security
78,SAAQ.PVT,SandboxAQ,15.25,-11.39%,5.121B,916.376M,2025-04-03,450M,Series E,Privacy and Security
79,NEWS.PVT,Newsela,5.84,-12.18%,297.125M,188.971M,2021-02-24,100M,Series D,Education
